bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
4,16,cross_probe_only_flipped,287.0,274.0,291.0,5
4,16,same_original_matching,375.0,355.0,412.0,5
4,16,same_probe_only_flipped,360.0,338.0,394.0,5
4,17,cross_original_matching,301.0,278.0,317.0,5
4,17,cross_probe_only_flipped,297.0,291.0,323.0,5
4,17,same_original_matching,395.0,339.0,470.0,5
4,17,same_probe_only_flipped,363.0,340.0,467.0,5
4,18,cross_original_matching,306.0,290.0,339.0,5
4,18,cross_probe_only_flipped,301.0,289.0,326.0,5
4,18,same_original_matching,510.0,368.0,557.0,5
4,18,same_probe_only_flipped,511.0,369.0,562.0,5
4,19,cross_original_matching,308.0,281.0,325.0,5
4,19,cross_probe_only_flipped,305.0,281.0,326.0,5
4,19,same_original_matching,553.0,444.0,574.0,5
4,19,same_probe_only_flipped,544.0,427.0,568.0,5
4,20,cross_original_matching,295.0,279.0,318.0,5
4,20,cross_probe_only_flipped,304.0,290.0,318.0,5
4,20,same_original_matching,541.0,519.0,585.0,5
4,20,same_probe_only_flipped,530.0,507.0,550.0,5
5,0,cross_original_matching,27.0,27.0,28.0,5
5,0,cross_probe_only_flipped,27.0,27.0,29.0,5
5,0,same_original_matching,28.0,27.0,29.0,5
5,0,same_probe_only_flipped,27.0,27.0,27.0,5
5,1,cross_original_matching,27.0,27.0,27.0,5
5,1,cross_probe_only_flipped,27.0,27.0,27.0,5
5,1,same_original_matching,28.0,28.0,29.0,5
5,1,same_probe_only_flipped,28.0,27.0,28.0,5
5,2,cross_original_matching,27.0,27.0,28.0,5
5,2,cross_probe_only_flipped,27.0,27.0,28.0,5
5,2,same_original_matching,30.0,29.0,41.0,5
5,2,same_probe_only_flipped,47.0,44.0,49.0,5
5,3,cross_original_matching,27.0,27.0,28.0,5
5,3,cross_probe_only_flipped,27.0,27.0,27.0,5
5,3,same_original_matching,48.0,48.0,54.0,5
5,3,same_probe_only_flipped,53.0,52.0,55.0,5
5,4,cross_original_matching,27.0,27.0,28.0,5
5,4,cross_probe_only_flipped,27.0,27.0,30.0,5
5,4,same_original_matching,55.0,50.0,58.0,5
5,4,same_probe_only_flipped,54.0,52.0,63.0,5
5,5,cross_original_matching,27.0,27.0,28.0,5
5,5,cross_probe_only_flipped,27.0,27.0,28.0,5
5,5,same_original_matching,53.0,53.0,60.0,5
5,5,same_probe_only_flipped,61.0,54.0,67.0,5
5,6,cross_original_matching,28.0,28.0,30.0,5
5,6,cross_probe_only_flipped,27.0,27.0,31.0,5
5,6,same_original_matching,71.0,56.0,87.0,5
5,6,same_probe_only_flipped,155.0,119.0,184.0,5
5,7,cross_original_matching,29.0,28.0,35.0,5
5,7,cross_probe_only_flipped,30.0,27.0,38.0,5
5,7,same_original_matching,268.0,256.0,279.0,5
5,7,same_probe_only_flipped,265.0,258.0,281.0,5
5,8,cross_original_matching,31.0,29.0,50.0,5
5,8,cross_probe_only_flipped,35.0,29.0,53.0,5
5,8,same_original_matching,276.0,269.0,288.0,5
5,8,same_probe_only_flipped,282.0,271.0,302.0,5
5,9,cross_original_matching,46.0,30.0,63.0,5
5,9,cross_probe_only_flipped,48.0,36.0,66.0,5
5,9,same_original_matching,284.0,271.0,308.0,5
5,9,same_probe_only_flipped,283.0,266.0,291.0,5
5,10,cross_original_matching,70.0,33.0,106.0,5
5,10,cross_probe_only_flipped,73.0,38.0,99.0,5
5,10,same_original_matching,292.0,276.0,319.0,5
5,10,same_probe_only_flipped,298.0,285.0,334.0,5
5,11,cross_original_matching,63.0,43.0,106.0,5
5,11,cross_probe_only_flipped,64.0,34.0,94.0,5
5,11,same_original_matching,286.0,283.0,294.0,5
5,11,same_probe_only_flipped,289.0,264.0,312.0,5
5,12,cross_original_matching,69.0,52.0,93.0,5
5,12,cross_probe_only_flipped,58.0,39.0,115.0,5
5,12,same_original_matching,292.0,287.0,314.0,5
5,12,same_probe_only_flipped,310.0,302.0,320.0,5
5,13,cross_original_matching,74.0,60.0,107.0,5
5,13,cross_probe_only_flipped,50.0,44.0,93.0,5
5,13,same_original_matching,340.0,326.0,362.0,5
5,13,same_probe_only_flipped,337.0,329.0,367.0,5
5,14,cross_original_matching,168.0,121.0,255.0,5
5,14,cross_probe_only_flipped,198.0,123.0,230.0,5
5,14,same_original_matching,351.0,336.0,361.0,5
5,14,same_probe_only_flipped,333.0,307.0,367.0,5
5,15,cross_original_matching,230.0,197.0,272.0,5
5,15,cross_probe_only_flipped,236.0,220.0,287.0,5
5,15,same_original_matching,378.0,335.0,475.0,5
5,15,same_probe_only_flipped,356.0,339.0,411.0,5
5,16,cross_original_matching,305.0,297.0,312.0,5
5,16,cross_probe_only_flipped,290.0,286.0,310.0,5
5,16,same_original_matching,364.0,338.0,456.0,5
5,16,same_probe_only_flipped,361.0,332.0,411.0,5
5,17,cross_original_matching,288.0,277.0,335.0,5
5,17,cross_probe_only_flipped,289.0,266.0,296.0,5
5,17,same_original_matching,393.0,352.0,511.0,5
5,17,same_probe_only_flipped,382.0,345.0,457.0,5
5,18,cross_original_matching,295.0,284.0,320.0,5
5,18,cross_probe_only_flipped,316.0,284.0,324.0,5
5,18,same_original_matching,512.0,385.0,572.0,5
5,18,same_probe_only_flipped,522.0,382.0,552.0,5
5,19,cross_original_matching,290.0,284.0,306.0,5
5,19,cross_probe_only_flipped,295.0,276.0,304.0,5
5,19,same_original_matching,546.0,410.0,557.0,5
